motor,trial_seed,source_csv,rows,actual_fault_t,fault_z,fault_vz,contact_found,contact_t,fault_to_contact_s,contact_phase,safe_touchdown,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok
4,44980017,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980017.csv,4186,9.943602561950684,0.7172396779060364,-0.0038974543567746878,True,13.04825496673584,3.1046524047851562,adaptive_brake,False,0.37377166748046875,-0.023771667480468772,0.014274706913534245,0.08192723244428635,0.024578515346767364,0.26197931975440203,False,True,True,True,True
4,44980018,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980018.csv,4195,10.004408121109009,0.7094652056694031,-0.0037826334591954947,True,13.124585628509521,3.1201775074005127,adaptive_brake,False,0.3571317195892334,-0.007131719589233421,0.012990503739328668,0.1149442195892334,0.0247751019628407,0.29919590047684025,False,True,True,True,True
4,44980019,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980019.csv,4228,10.224643468856812,0.7261355519294739,-0.0037941494956612587,True,13.444246768951416,3.2196033000946045,adaptive_brake,False,0.3629785478115082,-0.012978547811508201,0.013607883054988114,0.08262458443641663,0.02427281793284958,0.25686909856614226,False,True,True,True,True
4,44980020,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980020.csv,4180,9.925748348236084,0.7182670831680298,-0.003945307806134224,True,13.047603845596313,3.1218554973602295,adaptive_brake,False,0.35777348279953003,-0.0077734827995300515,0.012498681283136458,0.11924847215414047,0.02485811579656822,0.26641264573537893,False,True,True,True,True
4,44980021,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980021.csv,4172,9.864800453186035,0.6939489245414734,-0.0036915866658091545,True,12.946053266525269,3.0812528133392334,adaptive_brake,True,0.3452467918395996,0.004753208160400368,0.012703205453032277,0.14169186353683472,0.02543819920539331,0.232028479773272,True,True,True,True,True
4,44980022,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980022.csv,4231,10.245113611221313,0.6966730952262878,-0.0036996949929744005,True,13.30505108833313,3.0599374771118164,adaptive_brake,False,0.3502519130706787,-0.00025191307067873314,0.01205307941171167,0.12830138206481934,0.02396253649383251,0.2305700525622978,False,True,True,True,True
4,44980023,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980023.csv,4171,9.843201398849487,0.7157225608825684,-0.00416215043514967,True,12.903696060180664,3.0604946613311768,adaptive_brake,False,0.3611603081226349,-0.01116030812263491,0.01222352178165156,0.10562390834093094,0.025834376025706172,0.25201764514611275,False,True,True,True,True
4,44980024,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980024.csv,4198,10.024373531341553,0.7044474482536316,-0.0036801279056817293,True,13.064401388168335,3.0400278568267822,adaptive_brake,False,0.36664021015167236,-0.016640210151672385,0.0126235732427309,0.08834841102361679,0.02487562093700676,0.281700115789539,False,True,True,True,True
4,44980025,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980025.csv,4186,9.944804191589355,0.6949986219406128,-0.00369735318236053,True,13.08495569229126,3.1401515007019043,adaptive_brake,True,0.3460095524787903,0.003990447521209695,0.013317994778366782,0.1349608600139618,0.02450070994491585,0.2666586103032773,True,True,True,True,True
4,44980026,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980026.csv,4207,10.08566951751709,0.701703667640686,-0.0038620687555521727,True,13.204631805419922,3.118962287902832,adaptive_brake,True,0.3478580713272095,0.002141928672790505,0.013689061685157464,0.14394327998161316,0.024402860241264156,0.2640213550620673,True,True,True,True,True
4,44980027,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980027.csv,4189,9.966029167175293,0.7338865995407104,-0.004128487780690193,True,13.144644737243652,3.1786155700683594,adaptive_brake,False,0.358132541179657,-0.008132541179657005,0.01287250309666335,0.1070084422826767,0.02342870218839816,0.2714188564852063,False,True,True,True,True
4,44980028,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980028.csv,4168,9.823604583740234,0.7217794060707092,-0.003947979770600796,True,13.004661321640015,3.1810567378997803,adaptive_brake,False,0.3571207821369171,-0.0071207821369171365,0.012625849088576406,0.1028541624546051,0.0243851238885458,0.2725556605852598,False,True,True,True,True
4,44980029,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980029.csv,4207,10.084479331970215,0.7263486981391907,-0.003918035421520472,True,13.363669157028198,3.2791898250579834,adaptive_brake,False,0.3509350121021271,-0.0009350121021270974,0.013855127852854027,0.09339006245136261,0.025220235805666905,0.2619396131702195,False,True,True,True,True
4,44980030,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980030.csv,4174,9.864181756973267,0.7129794359207153,-0.0038280575536191463,True,13.045185327529907,3.1810035705566406,adaptive_brake,True,0.3477805554866791,0.0022194445133209006,0.01363907568380391,0.12407389283180237,0.02361748337411666,0.29736418732983727,True,True,True,True,True
